Local;fecha;Base0;Base<>0;Impuestos;Venta-Impuesto;Suma de total_venta_sinimpuestos
002-GUASMO;07-may;$1.491,85;$447,21;$67,08;$2.006,14;1939,058152
002-GUASMO;08-may;$1.869,48;$411,66;$61,75;$2.342,89;2281,140809
002-GUASMO;09-may;$1.611,65;$441,68;$66,25;$2.119,58;2053,330217
002-GUASMO;;$110.019,17;$39.544,84;$5.931,73;$155.495,74;149564,0134
002-GUASMO;01-mar;$442,49;$186,05;$27,91;$656,45;628,5389522
002-GUASMO;02-mar;$500,16;$139,23;$20,88;$660,28;639,3914435
002-GUASMO;03-mar;$357,69;$53,81;$8,07;$419,57;411,498987
002-GUASMO;04-mar;$260,71;$133,74;$20,06;$414,52;394,4539261
002-GUASMO;05-mar;$501,86;$183,67;$27,55;$713,07;685,5246652
002-GUASMO;06-mar;$443,85;$149,43;$22,42;$615,70;593,2876305
002-GUASMO;07-mar;$442,98;$159,72;$23,96;$626,66;602,6977652
002-GUASMO;08-mar;$493,72;$155,03;$23,25;$672,00;648,7485522
002-GUASMO;09-mar;$390,88;$164,06;$24,61;$579,55;554,9394087
002-GUASMO;10-mar;$442,97;$134,16;$20,12;$597,26;577,1356087
002-GUASMO;11-mar;$402,50;$135,04;$20,26;$557,79;537,5345131
002-GUASMO;12-mar;$301,49;$161,06;$24,16;$486,71;462,5507435
002-GUASMO;13-mar;$289,49;$142,03;$21,31;$452,83;431,5205696
002-GUASMO;14-mar;$496,85;$151,92;$22,79;$671,56;648,7675348
002-GUASMO;15-mar;$517,48;$191,63;$28,74;$737,86;709,1106478
002-GUASMO;16-mar;$388,02;$86,42;$12,96;$487,40;474,4384913
002-GUASMO;17-mar;$463,92;$197,21;$29,58;$690,72;661,1381087
002-GUASMO;18-mar;$332,38;$156,86;$23,53;$512,76;489,2324174
002-GUASMO;19-mar;$371,70;$200,54;$30,08;$602,32;572,2367305
002-GUASMO;20-mar;$443,77;$157,23;$23,58;$624,58;600,9964609
002-GUASMO;21-mar;$363,19;$111,55;$16,73;$491,47;474,7365131
002-GUASMO;22-mar;$362,38;$165,07;$24,76;$552,20;527,4446044
002-GUASMO;23-mar;$365,96;$177,46;$26,62;$570,04;543,4189131
002-GUASMO;24-mar;$378,53;$119,27;$17,89;$515,69;497,8045218
002-GUASMO;25-mar;$547,11;$136,74;$20,51;$704,36;683,8504435
002-GUASMO;26-mar;$465,89;$189,87;$28,48;$684,24;655,7605392
002-GUASMO;27-mar;$285,44;$111,96;$16,79;$414,19;397,3971391
002-GUASMO;28-mar;$427,32;$137,27;$20,59;$585,18;564,5931957
002-GUASMO;29-mar;$356,23;$212,30;$31,85;$600,38;568,5379131
002-GUASMO;30-mar;$411,56;$114,42;$17,16;$543,15;525,9848131
002-GUASMO;31-mar;$391,78;$173,14;$25,97;$590,88;564,9130044
002-GUASMO;01-abr;$460,10;$314,99;$47,25;$822,33;775,0857087
002-GUASMO;02-abr;$279,01;$155,00;$23,25;$457,25;434,0015261
002-GUASMO;03-abr;$433,84;$181,92;$27,29;$643,04;615,7557305
002-GUASMO;04-abr;$408,67;$194,49;$29,17;$632,34;603,1637392
002-GUASMO;05-abr;$540,82;$123,97;$18,60;$683,38;664,7849305
002-GUASMO;06-abr;$365,25;$98,51;$14,78;$478,53;463,7568044
002-GUASMO;07-abr;$323,92;$226,66;$34,00;$584,58;550,5781
002-GUASMO;08-abr;$314,60;$196,95;$29,54;$541,09;511,5484391
002-GUASMO;09-abr;$496,86;$178,87;$26,83;$702,56;675,729513
002-GUASMO;10-abr;$373,08;$134,11;$20,12;$527,31;507,1914044
002-GUASMO;11-abr;$302,50;$116,85;$17,53;$436,88;419,3546131
002-GUASMO;12-abr;$557,33;$172,01;$25,80;$755,14;729,3430609
002-GUASMO;13-abr;$315,66;$184,92;$27,74;$528,31;500,5739218
002-GUASMO;14-abr;$411,18;$233,42;$35,01;$679,61;644,6004479
002-GUASMO;15-abr;$396,57;$141,70;$21,25;$559,52;538,2647566
002-GUASMO;16-abr;$415,06;$197,26;$29,59;$641,91;612,3251522
002-GUASMO;17-abr;$451,78;$174,45;$26,17;$652,39;626,2211565
002-GUASMO;18-abr;$373,79;$92,80;$13,92;$480,52;466,5988261
002-GUASMO;19-abr;$425,18;$224,02;$33,60;$682,80;649,1984305
002-GUASMO;20-abr;$340,48;$142,47;$21,37;$504,33;482,9571305
002-GUASMO;21-abr;$386,19;$186,91;$28,04;$601,13;573,0929217
002-GUASMO;22-abr;$427,09;$192,52;$28,88;$648,49;619,6098609
002-GUASMO;23-abr;$326,21;$278,02;$41,70;$645,93;604,2274305
002-GUASMO;24-abr;$543,61;$182,14;$27,32;$753,06;725,7438435
002-GUASMO;25-abr;$368,13;$97,33;$14,60;$480,06;465,4597391
002-GUASMO;26-abr;$323,49;$192,00;$28,80;$544,29;515,4890479
002-GUASMO;27-abr;$437,08;$132,72;$19,91;$589,71;569,8007479
002-GUASMO;28-abr;$359,68;$173,60;$26,04;$559,32;533,2835218
002-GUASMO;29-abr;$423,57;$106,17;$15,93;$545,67;529,7484652
002-GUASMO;30-abr;$555,46;$185,63;$27,84;$768,93;741,0844522
002-GUASMO;01-may;$397,74;$159,47;$23,92;$581,13;557,2092609
002-GUASMO;02-may;$490,26;$143,05;$21,46;$654,77;633,3104609
002-GUASMO;03-may;$563,05;$158,84;$23,83;$745,71;721,8815174
002-GUASMO;04-may;$364,51;$197,23;$29,58;$591,31;561,7310044
002-GUASMO;05-may;$480,71;$185,52;$27,83;$694,05;666,225787
002-GUASMO;06-may;$411,85;$174,19;$26,13;$612,17;586,0395261
002-GUASMO;07-may;$323,66;$237,46;$35,62;$596,74;561,1217826
002-GUASMO;08-may;$321,18;$142,18;$21,33;$484,69;463,3613218
002-GUASMO;09-may;$414,34;$183,85;$27,58;$625,77;598,1928478
Total 003-PENDOLA;;$28.543,78;$11.482,05;$1.722,31;$41.748,14;40025,83169
004-PLAYITA-D;01-mar;$1.446,99;$550,79;$82,62;$2.080,39;1997,774752
004-PLAYITA-D;02-mar;$1.476,76;$521,50;$78,22;$2.076,48;1998,253657
004-PLAYITA-D;03-mar;$1.243,86;$371,30;$55,70;$1.670,86;1615,160761
004-PLAYITA-D;04-mar;$1.080,03;$417,07;$62,56;$1.559,67;1497,1041
004-PLAYITA-D;05-mar;$1.453,54;$469,41;$70,41;$1.993,36;1922,945635
004-PLAYITA-D;06-mar;$1.786,99;$640,02;$96,00;$2.523,02;2427,015444
004-PLAYITA-D;07-mar;$1.397,70;$629,12;$94,37;$2.121,20;2026,826461
004-PLAYITA-D;08-mar;$1.805,27;$494,34;$74,15;$2.373,76;2299,605304
004-PLAYITA-D;09-mar;$1.666,56;$484,56;$72,68;$2.223,81;2151,121674
004-PLAYITA-D;10-mar;$1.539,87;$548,08;$82,21;$2.170,17;2087,955091
004-PLAYITA-D;11-mar;$1.635,80;$616,34;$92,45;$2.344,60;2252,14437
004-PLAYITA-D;12-mar;$1.897,04;$401,74;$60,26;$2.359,04;2298,778361
004-PLAYITA-D;13-mar;$1.647,42;$501,29;$75,19;$2.223,90;2148,70587
004-PLAYITA-D;14-mar;$1.578,24;$542,51;$81,38;$2.202,13;2120,750939
004-PLAYITA-D;15-mar;$1.605,37;$643,31;$96,50;$2.345,18;2248,6818
004-PLAYITA-D;16-mar;$1.466,78;$591,12;$88,67;$2.146,57;2057,898917
004-PLAYITA-D;17-mar;$1.779,64;$609,01;$91,35;$2.480,00;2388,650117
004-PLAYITA-D;18-mar;$1.743,46;$587,05;$88,06;$2.418,57;2330,508152
004-PLAYITA-D;19-mar;$1.497,39;$559,38;$83,91;$2.140,68;2056,771017
004-PLAYITA-D;20-mar;$1.778,92;$499,83;$74,97;$2.353,73;2278,755878
004-PLAYITA-D;21-mar;$1.603,60;$531,63;$79,74;$2.214,98;2135,234883
004-PLAYITA-D;22-mar;$1.831,12;$491,05;$73,66;$2.395,82;2322,164152
004-PLAYITA-D;23-mar;$1.385,20;$675,66;$101,35;$2.162,20;2060,854248
004-PLAYITA-D;24-mar;$1.738,74;$465,91;$69,89;$2.274,53;2204,646504
004-PLAYITA-D;25-mar;$1.375,72;$524,09;$78,61;$1.978,42;1899,806422
004-PLAYITA-D;26-mar;$1.619,95;$441,51;$66,23;$2.127,69;2061,459278
004-PLAYITA-D;27-mar;$1.441,78;$347,70;$52,15;$1.841,63;1789,473083
004-PLAYITA-D;28-mar;$1.422,87;$552,70;$82,91;$2.058,48;1975,570217
004-PLAYITA-D;29-mar;$1.496,36;$509,46;$76,42;$2.082,24;2005,822922
004-PLAYITA-D;30-mar;$1.309,75;$443,39;$66,51;$1.819,65;1753,140622
004-PLAYITA-D;31-mar;$2.043,21;$513,48;$77,02;$2.633,70;2556,683035
004-PLAYITA-D;01-abr;$1.583,11;$492,98;$73,95;$2.150,03;2076,086544
004-PLAYITA-D;02-abr;$1.528,44;$583,93;$87,59;$2.199,96;2112,370278
004-PLAYITA-D;03-abr;$1.505,13;$457,10;$68,57;$2.030,80;1962,233109
004-PLAYITA-D;04-abr;$1.245,69;$552,31;$82,85;$1.880,85;1798,006561
004-PLAYITA-D;05-abr;$1.652,87;$601,08;$90,16;$2.344,10;2253,943335
004-PLAYITA-D;06-abr;$1.432,18;$577,38;$86,61;$2.096,17;2009,563783
004-PLAYITA-D;07-abr;$1.527,08;$525,72;$78,86;$2.131,65;2052,79677
004-PLAYITA-D;08-abr;$1.498,48;$585,35;$87,80;$2.171,63;2083,825544
004-PLAYITA-D;09-abr;$1.346,23;$588,76;$88,31;$2.023,31;1934,995152
004-PLAYITA-D;10-abr;$1.155,96;$319,88;$47,98;$1.523,83;1475,843461
004-PLAYITA-D;11-abr;$1.536,95;$490,55;$73,58;$2.101,08;2027,499774
004-PLAYITA-D;12-abr;$1.543,15;$492,22;$73,83;$2.109,20;2035,362504
004-PLAYITA-D;13-abr;$1.582,59;$417,31;$62,60;$2.062,50;1999,898422
004-PLAYITA-D;14-abr;$1.483,59;$557,19;$83,58;$2.124,36;2040,7809
004-PLAYITA-D;15-abr;$1.417,23;$652,18;$97,83;$2.167,24;2069,408748
004-PLAYITA-D;16-abr;$1.711,09;$505,41;$75,81;$2.292,31;2216,503031
004-PLAYITA-D;17-abr;$1.528,59;$493,66;$74,05;$2.096,30;2022,249265
004-PLAYITA-D;18-abr;$1.506,35;$498,96;$74,84;$2.080,15;2005,309422
004-PLAYITA-D;19-abr;$1.396,70;$517,58;$77,64;$1.991,92;1914,280248
004-PLAYITA-D;20-abr;$1.285,03;$513,24;$76,99;$1.875,26;1798,269335
004-PLAYITA-D;21-abr;$1.469,00;$467,68;$70,15;$2.006,83;1936,676983
004-PLAYITA-D;22-abr;$1.586,95;$423,36;$63,50;$2.073,81;2010,309374
004-PLAYITA-D;23-abr;$1.638,64;$543,70;$81,55;$2.263,89;2182,337026
004-PLAYITA-D;24-abr;$1.435,73;$398,31;$59,75;$1.893,79;1834,040304
004-PLAYITA-D;25-abr;$1.482,65;$483,83;$72,57;$2.039,05;1966,474613
004-PLAYITA-D;26-abr;$1.536,71;$560,01;$84,00;$2.180,72;2096,715926
004-PLAYITA-D;27-abr;$1.679,50;$444,69;$66,70;$2.190,89;2124,190644
004-PLAYITA-D;28-abr;$1.798,83;$588,50;$88,28;$2.475,61;2387,337287
004-PLAYITA-D;29-abr;$1.698,63;$607,98;$91,20;$2.397,81;2306,610583
004-PLAYITA-D;30-abr;$1.727,61;$475,80;$71,37;$2.274,78;2203,408496
004-PLAYITA-D;01-may;$1.278,02;$553,93;$83,09;$1.915,04;1831,954096
004-PLAYITA-D;02-may;$1.267,96;$457,23;$68,58;$1.793,78;1725,192013
004-PLAYITA-D;03-may;$1.336,26;$557,48;$83,62;$1.977,36;1893,739126
004-PLAYITA-D;04-may;$1.477,28;$497,52;$74,63;$2.049,43;1974,799596
004-PLAYITA-D;05-may;$1.682,36;$489,87;$73,48;$2.245,71;2172,233213
004-PLAYITA-D;06-may;$1.806,80;$602,20;$90,33;$2.499,33;2409,00383
004-PLAYITA-D;07-may;$1.528,18;$573,39;$86,01;$2.187,58;2101,570822
004-PLAYITA-D;08-may;$1.464,47;$463,51;$69,53;$1.997,51;1927,985739
004-PLAYITA-D;09-may;$1.590,14;$512,30;$76,85;$2.179,29;2102,447891
Total 004-PLAYITA-D;;$107.748,11;$36.298,41;$5.444,76;$149.491,28;144046,5174
005-CRISTO CONSUELO-D;01-mar;$1.643,87;$616,94;$92,54;$2.353,35;2260,807287
005-CRISTO CONSUELO-D;02-mar;$1.106,66;$478,68;$71,80;$1.657,14;1585,340909
005-CRISTO CONSUELO-D;03-mar;$1.281,67;$354,58;$53,19;$1.689,44;1636,250378
005-CRISTO CONSUELO-D;04-mar;$955,38;$230,62;$34,59;$1.220,60;1186,0056
005-CRISTO CONSUELO-D;05-mar;$1.297,23;$417,71;$62,66;$1.777,60;1714,946557
005-CRISTO CONSUELO-D;06-mar;$1.314,70;$478,56;$71,78;$1.865,03;1793,2509
005-CRISTO CONSUELO-D;07-mar;$1.491,84;$513,75;$77,06;$2.082,65;2005,591974
005-CRISTO CONSUELO-D;08-mar;$1.319,93;$430,02;$64,50;$1.814,45;1749,95137
005-CRISTO CONSUELO-D;09-mar;$1.392,00;$556,44;$83,47;$2.031,90;1948,436887
005-CRISTO CONSUELO-D;10-mar;$1.823,10;$589,39;$88,41;$2.500,90;2412,492287
005-CRISTO CONSUELO-D;11-mar;$1.397,50;$669,67;$100,45;$2.167,62;2067,168983
005-CRISTO CONSUELO-D;12-mar;$1.234,22;$398,18;$59,73;$1.692,13;1632,403178
005-CRISTO CONSUELO-D;13-mar;$1.262,22;$342,66;$51,40;$1.656,28;1604,883417
005-CRISTO CONSUELO-D;14-mar;$1.285,54;$505,62;$75,84;$1.867,00;1791,154309
005-CRISTO CONSUELO-D;15-mar;$1.684,24;$703,43;$105,51;$2.493,18;2387,670135
005-CRISTO CONSUELO-D;16-mar;$1.332,59;$495,44;$74,32;$1.902,35;1828,035678
005-CRISTO CONSUELO-D;17-mar;$1.734,74;$609,74;$91,46;$2.435,93;2344,473622
005-CRISTO CONSUELO-D;18-mar;$1.348,23;$322,94;$48,44;$1.719,61;1671,167678
005-CRISTO CONSUELO-D;19-mar;$1.472,36;$427,14;$64,07;$1.963,57;1899,498913
005-CRISTO CONSUELO-D;20-mar;$1.865,11;$624,90;$93,73;$2.583,74;2490,006283
005-CRISTO CONSUELO-D;21-mar;$1.425,07;$588,87;$88,33;$2.102,27;2013,938204
005-CRISTO CONSUELO-D;22-mar;$1.670,70;$536,76;$80,51;$2.287,97;2207,455713
005-CRISTO CONSUELO-D;23-mar;$1.178,39;$362,94;$54,44;$1.595,77;1541,329509
005-CRISTO CONSUELO-D;24-mar;$1.588,16;$389,71;$58,46;$2.036,33;1977,871287
005-CRISTO CONSUELO-D;25-mar;$991,10;$580,49;$87,07;$1.658,67;1571,59333
005-CRISTO CONSUELO-D;26-mar;$1.182,10;$462,56;$69,38;$1.714,04;1644,660409
005-CRISTO CONSUELO-D;27-mar;$1.237,17;$288,57;$43,29;$1.569,03;1525,741861
005-CRISTO CONSUELO-D;28-mar;$1.476,36;$537,84;$80,68;$2.094,88;2014,201757
005-CRISTO CONSUELO-D;29-mar;$1.114,07;$516,79;$77,52;$1.708,38;1630,859404
005-CRISTO CONSUELO-D;30-mar;$987,18;$394,94;$59,24;$1.441,36;1382,117204
005-CRISTO CONSUELO-D;31-mar;$1.837,97;$541,90;$81,28;$2.461,15;2379,870348
005-CRISTO CONSUELO-D;01-abr;$1.709,95;$501,44;$75,22;$2.286,60;2211,382813
005-CRISTO CONSUELO-D;02-abr;$1.438,24;$477,30;$71,60;$1.987,13;1915,536887
005-CRISTO CONSUELO-D;03-abr;$1.368,46;$527,81;$79,17;$1.975,44;1896,271322
005-CRISTO CONSUELO-D;04-abr;$1.464,71;$406,47;$60,97;$1.932,15;1871,177617
005-CRISTO CONSUELO-D;05-abr;$1.584,54;$446,81;$67,02;$2.098,38;2031,35557
005-CRISTO CONSUELO-D;06-abr;$1.204,45;$596,19;$89,43;$1.890,07;1800,638209
005-CRISTO CONSUELO-D;07-abr;$1.439,59;$301,37;$45,21;$1.786,17;1740,959861
005-CRISTO CONSUELO-D;08-abr;$1.151,46;$382,21;$57,33;$1.591,00;1533,668226
005-CRISTO CONSUELO-D;09-abr;$1.306,94;$434,74;$65,21;$1.806,88;1741,672865
005-CRISTO CONSUELO-D;10-abr;$1.167,50;$245,75;$36,86;$1.450,11;1413,243761
005-CRISTO CONSUELO-D;11-abr;$1.656,95;$568,88;$85,33;$2.311,17;2225,835391
005-CRISTO CONSUELO-D;12-abr;$1.329,95;$381,97;$57,30;$1.769,22;1711,923357
005-CRISTO CONSUELO-D;13-abr;$969,54;$413,74;$62,06;$1.445,34;1383,277926
005-CRISTO CONSUELO-D;14-abr;$1.627,62;$534,11;$80,12;$2.241,85;2161,729078
005-CRISTO CONSUELO-D;15-abr;$1.763,74;$504,03;$75,60;$2.343,37;2267,769148
005-CRISTO CONSUELO-D;16-abr;$1.674,54;$627,56;$94,13;$2.396,24;2302,103739
005-CRISTO CONSUELO-D;17-abr;$1.539,05;$569,53;$85,43;$2.194,01;2108,583778
005-CRISTO CONSUELO-D;18-abr;$1.179,90;$434,28;$65,14;$1.679,33;1614,185713
005-CRISTO CONSUELO-D;19-abr;$1.228,31;$386,34;$57,95;$1.672,61;1614,657943
005-CRISTO CONSUELO-D;20-abr;$998,74;$515,84;$77,38;$1.591,96;1514,586378
005-CRISTO CONSUELO-D;21-abr;$1.434,11;$420,89;$63,13;$1.918,14;1855,002857
005-CRISTO CONSUELO-D;22-abr;$1.280,30;$498,50;$74,78;$1.853,58;1778,799691
005-CRISTO CONSUELO-D;23-abr;$1.296,52;$388,32;$58,25;$1.743,09;1684,841665
005-CRISTO CONSUELO-D;24-abr;$1.532,85;$593,11;$88,97;$2.214,93;2125,961735
005-CRISTO CONSUELO-D;25-abr;$1.416,35;$411,62;$61,74;$1.889,71;1827,970439
005-CRISTO CONSUELO-D;26-abr;$1.176,22;$435,20;$65,28;$1.676,70;1611,423348
005-CRISTO CONSUELO-D;27-abr;$1.430,00;$424,56;$63,68;$1.918,24;1854,558252
005-CRISTO CONSUELO-D;28-abr;$1.581,30;$427,64;$64,15;$2.073,09;2008,9417
005-CRISTO CONSUELO-D;29-abr;$1.169,72;$601,15;$90,17;$1.861,05;1770,872435
005-CRISTO CONSUELO-D;30-abr;$1.682,27;$353,54;$53,03;$2.088,84;2035,811191
005-CRISTO CONSUELO-D;01-may;$1.948,01;$540,04;$81,01;$2.569,06;2488,0526
005-CRISTO CONSUELO-D;02-may;$1.488,54;$519,20;$77,88;$2.085,63;2007,744726
005-CRISTO CONSUELO-D;03-may;$1.383,40;$453,07;$67,96;$1.904,43;1836,47177
005-CRISTO CONSUELO-D;04-may;$1.284,76;$560,52;$84,08;$1.929,35;1845,276539
005-CRISTO CONSUELO-D;05-may;$1.425,72;$565,83;$84,87;$2.076,42;1991,54507
005-CRISTO CONSUELO-D;06-may;$1.360,06;$590,78;$88,62;$2.039,46;1950,846213
005-CRISTO CONSUELO-D;07-may;$1.611,53;$416,81;$62,52;$2.090,86;2028,335196
005-CRISTO CONSUELO-D;08-may;$1.279,80;$382,32;$57,35;$1.719,47;1662,122691
005-CRISTO CONSUELO-D;09-may;$1.113,71;$521,04;$78,16;$1.712,91;1634,7496
Total 005-CRISTO CONSUELO-D;;$97.630,77;$33.328,29;$4.999,24;$135.958,31;130959,0627
006-ESTEROS;01-mar;$1.415,12;$599,46;$89,92;$2.104,49;2014,573913
006-ESTEROS;02-mar;$1.091,44;$437,25;$65,59;$1.594,28;1528,691083
006-ESTEROS;03-mar;$1.168,54;$376,04;$56,41;$1.600,99;1544,585091
006-ESTEROS;04-mar;$1.060,52;$312,36;$46,85;$1.419,74;1372,88343
006-ESTEROS;05-mar;$1.486,53;$405,09;$60,76;$1.952,38;1891,621087
006-ESTEROS;06-mar;$1.437,70;$536,74;$80,51;$2.054,95;1974,4392
006-ESTEROS;07-mar;$1.583,75;$583,32;$87,50;$2.254,57;2167,074387
006-ESTEROS;08-mar;$1.340,62;$521,62;$78,24;$1.940,48;1862,240283
006-ESTEROS;09-mar;$1.340,63;$403,78;$60,57;$1.804,97;1744,405783
006-ESTEROS;10-mar;$1.484,64;$477,79;$71,67;$2.034,09;1962,423748
006-ESTEROS;11-mar;$1.261,41;$326,88;$49,03;$1.637,32;1588,291096
006-ESTEROS;12-mar;$1.211,63;$429,70;$64,46;$1.705,79;1641,337278
006-ESTEROS;13-mar;$1.481,33;$429,61;$64,44;$1.975,39;1910,944939
006-ESTEROS;14-mar;$1.691,44;$478,10;$71,71;$2.241,25;2169,538783
006-ESTEROS;15-mar;$1.737,37;$397,54;$59,63;$2.194,54;2134,905887
006-ESTEROS;16-mar;$1.200,34;$400,59;$60,09;$1.661,02;1600,926739
006-ESTEROS;17-mar;$1.428,99;$505,57;$75,83;$2.010,39;1934,558613
006-ESTEROS;18-mar;$1.356,84;$464,81;$69,72;$1.891,37;1821,645404
006-ESTEROS;19-mar;$1.623,27;$566,79;$85,02;$2.275,07;2190,0537
006-ESTEROS;20-mar;$1.299,93;$450,43;$67,56;$1.817,92;1750,357448
006-ESTEROS;21-mar;$1.370,50;$462,26;$69,34;$1.902,10;1832,759022
006-ESTEROS;22-mar;$1.256,00;$467,29;$70,09;$1.793,39;1723,297357
006-ESTEROS;23-mar;$1.228,74;$454,55;$68,18;$1.751,46;1683,28173
006-ESTEROS;24-mar;$1.286,49;$479,87;$71,98;$1.838,34;1766,361144
006-ESTEROS;25-mar;$1.032,41;$337,86;$50,68;$1.420,95;1370,271361
006-ESTEROS;26-mar;$1.458,67;$509,64;$76,45;$2.044,75;1968,308004
006-ESTEROS;27-mar;$1.052,31;$399,82;$59,97;$1.512,10;1452,127017
